sample,EGFR,KRAS,TP53,BRCA1,BRCA2,ALK,PIK3CA,MAPK1,PTEN,HRAS,NRAS,AKT1,CDK4,CDK6,MYC,RET,FGFR1,FGFR2,BRAF,SMAD4,MLH1,MUTYH,TSC1,TSC2,VHL,IDH1,IDH2,SPOP,ARID1A,ATM,AXIN1,FBXW7,RAD51,RB1,ERBB2,RPS6KB1,STK11,NOTCH1,NF1,KMT2C,KMT2D,PD-0325901:MEK_IC50 (uM),RAF265:RAF_IC50 (uM),PHA-665752:c-MET_IC50 (uM),Histology,Hist Subtype1,Site Primary
A427_LUNG,9.128,4.387,8.512,11.08,2.339,0.00088,8.19,5.17,4.552,43.5,28.49,64.15,139.8,8.916,30.77,0.8947,57.71,1.758,4.951,3.886,23.12,6.707,3.02,6.978,10.6,31.94,21.31,14.45,20.57,3.696,13.38,2.978,11.78,15.44,21.35,9.361,0.7231,3.045,6.962,2.951,8.513,,,,,,LUNG
U251MG_CENTRAL_NERVOUS_SYSTEM,9.021,2.25,38.64,5.98,0.766,1.083,6.5,10.75,5.039,9.909,46.57,32.03,60.85,8.941,22.65,0.00589,10.82,0.4571,5.058,3.001,17.13,5.598,5.88,11.69,14.8,40.66,16.75,17.56,12.96,7.196,6.311,2.674,3.23,13.45,6.924,13.11,21.67,9.144,2.66,8.325,4.595,,,,glioma,astrocytoma,CENTRAL_NERVOUS_SYSTEM
HS852T_SKIN,9.015,2.467,11.39,5.721,1.447,0.7628,3.539,22.06,16.22,37.44,18.0,52.47,153.6,3.272,8.653,0.01386,5.72,0.3817,5.151,7.514,15.17,5.481,4.583,14.25,11.45,60.28,26.54,12.77,15.5,4.366,12.51,4.521,7.324,5.745,11.03,6.379,20.34,27.7,2.55,3.006,6.184,1.34,8.0,8.0,malignant_melanoma,NS,SKIN
SNU620_STOMACH,8.924,6.434,24.76,11.99,2.85,0.00615,6.779,19.29,8.147,14.31,25.05,50.86,100.4,17.84,71.15,0.01204,0.04247,7.123,5.05,5.211,6.969,5.259,8.28,9.199,23.61,149.4,27.39,15.27,13.98,4.292,23.13,3.727,8.934,13.81,36.68,8.886,15.4,2.512,10.76,10.77,12.9,,,,carcinoma,NS,STOMACH
HCC2108_LUNG,8.899,5.863,15.01,11.68,1.927,0.00707,7.069,12.02,7.823,17.58,30.39,40.16,92.68,2.459,88.98,0.01638,38.99,0.01474,5.174,3.762,13.36,5.827,2.43,11.79,21.67,22.18,33.97,14.24,13.72,7.692,15.02,2.966,6.345,8.026,22.65,11.72,21.95,2.696,4.953,3.414,8.308,,,,carcinoma,adenocarcinoma,LUNG
HS895T_FIBROBLAST,8.812,4.517,5.825,2.69,0.9858,0.00745,11.08,14.4,12.07,28.76,32.24,58.2,63.7,15.72,12.51,0.02786,40.61,0.02029,3.677,5.041,12.44,2.056,4.862,6.668,7.878,32.14,21.74,9.939,5.561,6.317,5.071,2.476,3.429,9.973,7.965,7.337,12.36,1.515,4.622,2.176,4.538,,,,,,FIBROBLAST
SNU601_STOMACH,8.794,6.202,51.69,6.087,1.856,0.00466,5.768,20.03,4.788,12.5,26.74,30.95,75.94,19.63,52.91,0.01868,0.1069,3.999,4.65,2.23,17.32,4.793,3.373,9.479,16.36,68.58,24.29,10.44,16.77,2.333,20.42,3.405,14.24,10.94,27.52,6.621,15.3,6.016,2.849,4.384,9.912,,,,carcinoma,NS,STOMACH
NCIH2196_LUNG,8.745,12.83,14.25,6.625,3.266,0.01148,15.78,10.13,16.5,19.58,37.89,18.05,72.02,1.476,2.857,14.2,31.65,0.01963,8.219,11.33,19.24,8.993,6.521,16.33,21.69,49.91,21.39,16.58,27.84,11.74,18.05,6.318,2.786,9.349,2.115,9.448,24.15,1.052,4.821,5.528,14.74,,,,carcinoma,small_cell_carcinoma,LUNG
HEKTE_KIDNEY,8.744,3.766,41.91,7.377,1.481,0.0,6.9,14.28,7.14,16.08,32.62,37.91,87.39,19.05,26.48,0.02123,7.444,0.8828,3.431,8.489,23.63,3.541,5.338,7.717,12.59,19.52,43.55,18.08,12.37,7.277,7.061,3.607,8.5,18.48,16.44,7.918,15.43,3.161,6.658,2.894,2.892,,,,other,immortalized_epithelial,KIDNEY
HCT15_LARGE_INTESTINE,8.69,6.52,25.38,14.93,4.918,0.00253,5.995,22.83,10.65,27.4,47.26,39.86,111.9,9.611,55.6,0.0419,2.356,0.6251,5.055,8.777,25.39,5.357,5.62,7.838,25.01,61.68,31.91,19.21,21.69,5.163,18.32,4.89,17.75,20.11,31.74,13.99,21.54,1.545,12.85,6.035,10.45,8.0,0.5998,8.0,carcinoma,adenocarcinoma,LARGE_INTESTINE
HCC2218_BREAST,8.677,5.275,20.04,1.681,0.5428,0.0044,2.847,9.062,9.379,14.83,1.172,106.6,43.84,0.0618,58.99,10.75,1.867,0.1607,3.105,2.538,8.734,2.836,3.881,18.99,10.84,70.38,145.3,23.29,9.403,2.285,14.63,2.563,11.66,2.912,1265.0,96.49,17.39,18.57,4.677,7.042,8.79,,,,carcinoma,ductal_carcinoma,BREAST
JHUEM3_ENDOMETRIUM,8.668,8.276,2.959,6.192,1.735,0.08121,9.408,16.25,7.837,19.64,23.38,47.28,47.51,8.082,24.38,0.06435,3.89,1.342,5.071,4.453,9.577,4.718,9.05,10.69,21.98,23.18,32.53,12.34,9.955,7.551,15.59,3.116,7.504,9.184,38.32,8.357,8.603,4.701,7.072,5.475,11.0,,,,carcinoma,adenocarcinoma,ENDOMETRIUM
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,8.663,3.243,14.73,5.081,1.253,0.02439,5.216,17.25,7.919,27.91,23.13,47.25,121.6,29.74,14.06,0.1325,5.289,0.3792,3.289,5.57,13.25,1.335,3.286,5.032,10.11,35.95,56.65,11.1,5.962,3.955,4.855,2.08,7.141,44.8,13.17,7.823,16.02,4.434,6.996,3.035,3.415,8.0,0.2865,8.0,glioma,astrocytoma_Grade_IV,CENTRAL_NERVOUS_SYSTEM
NCIH2122_LUNG,8.563,3.95,21.1,7.816,1.336,0.02362,3.233,10.53,7.214,13.95,13.8,45.25,61.61,9.171,114.3,0.00947,0.8346,0.22,2.381,4.331,16.29,1.225,2.691,9.697,12.11,219.3,32.25,10.25,11.07,3.127,12.55,2.006,6.882,7.45,22.63,9.245,4.802,2.428,6.737,2.312,5.261,0.03556,0.4688,8.0,carcinoma,adenocarcinoma,LUNG
CHP212_AUTONOMIC_GANGLIA,8.561,4.642,40.72,23.12,3.347,0.00843,13.13,17.77,22.73,7.633,30.8,43.89,101.4,9.207,0.31,110.4,27.95,0.05328,4.17,10.64,18.72,1.94,12.09,13.64,23.21,22.84,17.51,35.47,12.61,12.52,7.849,4.088,9.342,23.83,20.11,23.12,12.94,9.46,11.06,5.928,11.75,0.00578,3.014,8.0,neuroblastoma,NS,AUTONOMIC_GANGLIA
SJSA1_BONE,8.468,4.612,26.64,7.685,1.879,0.0041,5.774,19.59,6.578,10.84,25.63,50.11,1438.0,17.15,4.264,0.00439,10.13,0.2987,3.433,6.966,14.19,3.971,11.81,13.76,9.592,26.38,24.89,21.48,17.52,2.563,7.872,3.117,15.12,15.45,12.13,9.858,12.87,3.423,8.043,3.519,8.995,8.0,3.515,8.0,osteosarcoma,NS,BONE
YKG1_CENTRAL_NERVOUS_SYSTEM,8.442,4.824,39.98,7.733,0.8411,1.384,8.458,10.39,7.461,12.08,20.07,40.57,128.0,5.459,10.54,4.082,24.33,0.02286,7.119,6.552,21.44,5.796,6.111,15.36,20.06,43.88,19.64,19.79,14.46,5.12,9.148,2.132,4.024,16.16,5.99,9.91,23.28,6.94,8.437,6.509,8.593,8.0,,8.0,glioma,astrocytoma_Grade_IV,CENTRAL_NERVOUS_SYSTEM
NCIH1436_LUNG,8.44,4.943,45.1,19.17,3.62,0.01141,13.46,20.09,0.2319,33.18,27.73,36.66,116.7,3.396,8.137,0.00697,5.806,0.00627,9.118,14.59,10.64,12.18,6.566,10.33,11.65,30.42,62.0,24.24,24.65,9.941,11.84,28.16,9.128,13.12,5.405,11.07,14.93,0.3782,13.26,20.61,21.99,,,,carcinoma,small_cell_carcinoma,LUNG
HCC78_LUNG,8.357,3.237,10.17,13.38,1.518,0.03066,5.61,11.0,5.233,15.59,13.64,49.59,48.25,2.779,57.18,0.00137,0.7066,0.01474,3.053,4.833,7.638,4.341,3.904,12.48,7.438,46.51,14.64,15.36,12.36,3.691,16.47,4.104,9.972,5.695,35.19,12.24,34.5,1.587,5.923,3.938,6.893,8.0,8.0,8.0,carcinoma,adenocarcinoma,LUNG
NCIH508_LARGE_INTESTINE,8.354,3.631,27.78,8.28,2.557,0.00161,6.075,9.64,8.696,10.85,16.41,23.34,47.14,5.507,79.4,0.9755,0.1022,1.855,4.161,6.296,8.145,6.231,9.151,11.65,11.16,66.4,27.63,18.03,8.261,4.393,23.42,3.674,4.56,21.18,63.14,9.304,20.68,17.55,8.727,5.833,6.983,,,,carcinoma,adenocarcinoma,LARGE_INTESTINE
GI1_CENTRAL_NERVOUS_SYSTEM,8.35,3.53,30.67,12.79,2.265,0.00672,5.311,11.49,6.905,17.29,46.89,41.53,125.6,4.939,25.01,0.05567,46.61,1.343,4.54,5.34,15.53,3.35,6.623,15.31,13.82,39.39,38.88,24.09,14.26,7.089,9.792,1.756,6.832,1.753,13.51,12.6,15.98,4.065,11.17,6.898,8.971,8.0,,8.0,glioma,gliosarcoma,CENTRAL_NERVOUS_SYSTEM
JHH7_LIVER,8.318,7.266,18.31,10.45,2.815,0.00575,5.635,38.19,4.646,16.42,30.78,25.06,167.2,5.487,35.75,0.0,8.153,6.124,8.398,5.514,21.37,7.238,5.916,10.51,19.15,193.5,40.86,15.42,21.33,6.221,11.4,5.673,11.0,8.091,34.68,7.626,13.14,4.28,8.114,3.84,15.98,0.4764,,8.0,carcinoma,hepatocellular_carcinoma,LIVER
HS274T_BREAST,8.266,4.349,11.92,3.157,1.712,0.03366,6.502,16.86,7.687,15.71,13.58,37.41,40.17,10.11,12.83,0.02338,20.3,0.01133,4.135,5.75,15.17,1.735,5.185,9.348,7.758,18.54,14.76,9.868,8.785,6.611,6.5,2.297,5.386,14.38,15.16,5.09,12.09,7.266,6.152,2.256,4.574,,,,carcinoma,NS,BREAST
GB1_CENTRAL_NERVOUS_SYSTEM,8.201,3.2,71.19,15.68,2.069,0.01284,6.436,18.51,10.05,21.24,29.63,40.08,356.3,25.27,30.77,0.01716,11.59,0.176,4.02,7.824,20.71,8.869,3.23,16.8,14.11,13.82,25.2,24.11,21.52,5.15,11.62,2.482,12.25,14.65,11.79,13.81,13.5,5.326,3.492,5.052,9.421,1.904,0.2898,8.0,glioma,astrocytoma_Grade_IV,CENTRAL_NERVOUS_SYSTEM
CAS1_CENTRAL_NERVOUS_SYSTEM,8.195,3.282,34.38,10.0,1.687,0.4189,7.908,17.8,2.682,13.89,23.41,43.59,66.92,9.76,15.88,0.02893,23.58,0.962,5.454,7.404,16.46,2.538,7.147,13.56,15.87,34.17,21.52,20.22,7.999,7.586,7.739,2.183,1.518,19.16,14.49,11.61,13.87,5.16,11.65,6.188,6.324,8.0,8.0,8.0,glioma,astrocytoma_Grade_IV,CENTRAL_NERVOUS_SYSTEM
SNU283_LARGE_INTESTINE,8.118,5.791,0.1227,8.894,2.128,0.00495,3.098,12.12,7.798,20.73,18.64,40.55,120.9,5.551,61.37,0.03439,0.09061,1.344,3.483,2.587,14.0,7.64,3.85,14.46,16.97,93.03,224.1,8.363,11.85,2.301,27.38,2.246,16.96,14.6,26.04,4.317,17.01,24.73,6.647,5.479,9.974,,,,carcinoma,NS,LARGE_INTESTINE
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,7.979,6.531,12.52,5.634,3.869,0.00623,5.17,15.03,3.361,24.78,25.79,54.76,113.4,7.156,19.2,0.1464,6.439,4.895,2.645,5.247,4.961,5.629,7.023,25.32,19.88,57.96,55.35,12.26,18.72,3.573,13.98,3.716,9.409,1.871,37.49,8.468,24.51,22.08,7.033,5.198,16.41,8.0,,8.0,carcinoma,adenocarcinoma,ENDOMETRIUM
COLO783_SKIN,7.976,4.376,24.71,5.515,2.784,0.03773,7.961,28.44,12.26,14.77,35.46,85.87,152.2,38.31,48.74,0.7331,10.68,0.2942,6.289,6.911,17.0,3.877,3.918,8.882,13.73,82.59,44.17,7.149,12.67,17.43,9.756,2.567,9.095,14.7,7.656,6.653,12.77,3.428,4.499,5.369,5.164,,,,malignant_melanoma,NS,SKIN
SNU489_CENTRAL_NERVOUS_SYSTEM,7.965,2.607,6.984,3.819,0.3751,0.014,4.677,8.377,2.34,18.88,21.5,19.99,65.3,21.54,17.89,0.02869,45.15,1.321,6.598,4.969,13.63,3.526,6.165,15.14,18.72,19.88,12.82,20.04,11.03,4.574,7.359,2.0,1.479,9.32,15.47,7.599,21.05,4.275,7.482,5.127,6.948,,,,glioma,astrocytoma_Grade_IV,CENTRAL_NERVOUS_SYSTEM
HS821T_FIBROBLAST,7.938,3.98,17.44,3.063,1.334,0.02226,6.62,13.83,7.22,24.86,14.43,38.37,43.29,8.314,10.5,0.01081,24.33,0.1878,4.289,4.565,12.97,1.69,3.592,12.39,7.891,19.65,15.17,12.11,9.741,4.585,10.93,2.838,3.722,10.77,11.18,5.688,12.36,6.188,5.374,3.087,5.996,,,,,,FIBROBLAST
KS1_CENTRAL_NERVOUS_SYSTEM,7.919,1.992,22.38,10.28,1.14,0.01391,7.073,21.24,9.934,35.66,22.76,41.2,139.2,13.01,11.81,0.07101,41.78,1.052,4.545,6.475,19.38,3.759,4.145,13.9,8.756,21.5,3.118,14.7,11.31,6.541,12.9,4.087,11.08,18.16,25.19,6.398,20.91,5.255,8.06,3.458,6.885,,,,glioma,astrocytoma_Grade_IV,CENTRAL_NERVOUS_SYSTEM
HT115_LARGE_INTESTINE,7.861,7.46,2.078,7.762,1.534,0.00383,4.734,14.42,6.355,7.517,26.89,34.16,139.0,11.28,111.7,0.0,0.1302,0.9864,5.486,8.935,14.12,10.76,5.78,6.779,15.16,62.61,67.52,10.24,10.8,3.32,20.48,5.51,13.6,7.237,37.69,7.503,23.23,6.204,2.266,3.486,7.872,,,,carcinoma,NS,LARGE_INTESTINE
SNU119_OVARY,7.807,10.17,14.7,2.301,1.25,0.8397,13.03,14.21,5.218,11.51,80.42,24.07,66.02,4.206,14.53,0.08847,3.329,7.341,7.464,4.356,6.431,5.22,2.398,8.798,10.45,49.11,72.43,10.2,23.93,3.535,9.364,3.073,13.92,1.121,132.8,4.248,10.96,0.9478,2.477,7.684,8.706,,,,carcinoma,adenocarcinoma,OVARY
HS739T_FIBROBLAST,7.768,2.916,15.55,1.681,0.5886,0.01012,5.852,11.16,7.394,15.21,17.6,37.19,41.28,6.18,14.71,0.0527,20.0,0.8099,3.496,5.101,9.834,1.543,5.813,10.5,8.128,29.49,24.15,11.16,9.26,5.182,5.558,2.806,2.642,7.138,13.27,4.887,10.47,3.255,6.35,3.527,7.405,,,,,,FIBROBLAST
HT29_LARGE_INTESTINE,7.68,7.492,31.89,8.091,5.473,0.01853,5.416,9.788,8.647,35.15,23.58,36.02,104.4,10.29,81.98,0.0154,0.03813,7.503,4.237,1.845,9.049,6.675,4.956,14.24,12.56,65.88,69.72,16.99,18.76,4.828,22.2,4.126,12.66,18.7,36.11,6.907,16.79,9.91,13.51,6.79,11.08,0.01175,0.8196,8.0,carcinoma,adenocarcinoma,LARGE_INTESTINE
CL34_LARGE_INTESTINE,7.675,4.752,46.02,9.348,3.805,0.00403,4.775,14.19,10.35,11.25,19.56,38.28,98.1,9.102,171.5,0.09194,0.0913,1.276,5.33,6.221,0.05592,17.34,4.781,12.78,20.15,78.07,117.3,16.57,17.12,3.872,23.58,4.721,11.66,11.89,45.37,7.599,25.77,11.66,7.897,6.561,12.87,,,,carcinoma,adenocarcinoma,LARGE_INTESTINE
AGS_STOMACH,7.597,8.679,18.09,6.309,5.855,0.00191,5.451,18.32,6.945,15.31,37.31,54.65,56.23,42.75,31.74,0.02347,0.03875,4.16,7.33,3.737,14.13,2.861,6.591,10.25,15.67,104.8,12.4,7.297,22.73,3.121,14.54,5.143,9.375,13.72,35.25,9.513,15.21,6.679,13.25,5.383,12.03,,,,carcinoma,adenocarcinoma,STOMACH
TGBC11TKB_STOMACH,7.596,11.1,35.89,6.894,2.292,0.03577,7.676,18.71,18.35,8.661,22.96,37.73,110.5,18.66,81.66,0.06826,0.1758,3.098,3.601,12.12,0.2834,10.03,10.66,7.138,26.29,115.3,19.2,15.92,14.41,8.157,15.42,6.224,5.025,23.63,24.57,8.925,17.24,7.727,14.84,12.4,22.95,,,,carcinoma,NS,STOMACH
HUG1N_STOMACH,7.577,535.0,30.89,11.5,1.451,0.00443,5.622,8.094,10.36,5.969,28.06,39.7,73.38,12.2,40.37,0.3405,2.66,10.76,6.33,1.89,15.29,11.24,3.926,14.9,10.09,79.37,42.02,10.7,19.29,4.335,24.27,2.838,14.76,4.26,23.31,4.668,18.28,6.583,8.029,7.942,12.05,,,,carcinoma,NS,STOMACH
PATU8988S_PANCREAS,7.574,3.953,29.23,5.206,4.216,0.08019,8.623,9.327,7.3,21.93,16.03,51.52,123.6,8.117,49.27,0.3211,1.304,11.69,4.187,0.04063,23.13,6.969,6.281,11.67,17.83,92.55,27.67,17.55,11.99,5.044,28.91,2.053,7.096,17.52,19.81,4.675,21.8,7.978,8.127,6.277,10.52,,,,carcinoma,ductal_carcinoma,PANCREAS
SNU869_BILIARY_TRACT,7.549,7.945,5.559,10.76,1.716,0.0606,11.15,14.62,10.27,11.19,19.31,33.29,61.14,13.53,43.48,0.01943,4.188,7.733,6.535,4.756,14.91,5.217,7.15,14.03,23.07,140.3,26.57,14.01,16.31,6.984,19.65,5.25,6.294,8.855,32.7,18.82,8.396,5.537,26.93,7.904,10.37,,,,carcinoma,NS,BILIARY_TRACT
CL40_LARGE_INTESTINE,7.527,6.855,30.11,3.204,1.207,0.0055,3.311,13.92,6.541,13.79,19.14,30.35,82.27,4.069,49.64,0.00735,0.09704,0.3253,3.493,4.949,7.48,3.571,3.175,9.622,12.47,66.79,24.1,10.47,12.72,1.923,15.09,2.861,5.27,11.53,45.63,5.03,20.95,10.05,5.078,3.28,10.76,,,,carcinoma,NS,LARGE_INTESTINE
TO175T_FIBROBLAST,7.455,5.499,10.25,4.617,2.28,0.01514,7.104,15.14,9.388,14.31,19.75,37.5,41.22,7.305,11.94,0.04206,15.25,0.00146,3.439,6.466,17.57,2.302,6.039,11.08,7.523,29.97,13.03,11.44,11.08,7.207,5.402,2.877,7.915,14.05,12.23,5.838,10.63,7.825,7.712,3.855,7.333,,,,,,FIBROBLAST
SLR20_KIDNEY,7.377,4.185,7.318,8.069,1.492,0.0,6.458,24.41,9.771,33.11,30.53,61.36,94.45,2.82,32.56,0.6362,8.711,0.2668,7.701,9.841,25.15,4.216,8.51,8.067,15.66,59.57,13.22,20.91,12.81,19.17,8.513,2.927,5.998,16.84,22.49,11.69,18.07,1.641,10.24,5.726,4.671,,,,carcinoma,renal_cell_carcinoma,KIDNEY
HS616T_FIBROBLAST,7.323,3.337,13.47,1.507,0.6792,0.01484,6.748,13.35,7.895,15.91,18.32,41.13,45.18,9.995,12.03,0.01098,16.89,0.01977,4.722,4.875,11.98,1.329,5.134,9.002,8.35,28.73,15.26,13.46,8.44,5.42,6.225,3.22,3.059,9.087,13.59,6.083,12.04,3.288,6.025,2.831,6.007,,,,,,FIBROBLAST
SNU1105_CENTRAL_NERVOUS_SYSTEM,7.284,2.663,15.79,8.259,1.304,0.2342,4.645,13.07,0.01982,21.39,32.33,51.94,77.83,19.4,13.26,0.00442,27.93,3.965,4.483,5.007,15.43,3.366,5.915,11.39,9.502,24.08,22.17,16.08,14.74,3.806,5.996,2.112,5.683,13.11,12.19,6.252,15.75,4.059,6.608,6.008,7.649,,,,glioma,astrocytoma_Grade_IV,CENTRAL_NERVOUS_SYSTEM
MDAMB157_BREAST,7.219,2.564,4.904,9.369,1.567,0.09934,6.424,13.79,4.918,33.44,30.72,72.88,99.26,14.43,17.06,0.5602,23.67,1.589,4.86,4.711,22.14,4.738,5.001,11.5,25.13,20.84,34.12,11.96,15.08,4.845,13.75,3.432,9.956,5.327,10.73,17.1,9.555,2.993,8.545,4.603,6.298,8.0,8.0,8.0,carcinoma,ductal_carcinoma,BREAST
CAL51_BREAST,7.168,5.927,41.53,14.11,5.241,0.0,5.13,16.48,9.917,14.59,29.31,29.9,104.3,3.618,9.188,0.02142,20.21,31.41,5.306,11.63,0.06414,10.06,7.869,14.83,26.55,44.28,26.7,13.29,27.57,9.195,14.05,7.282,12.71,19.85,37.98,11.36,22.19,7.969,10.96,7.759,11.57,,,,carcinoma,NS,BREAST
SKUT1_SOFT_TISSUE,7.162,4.753,46.19,8.433,1.484,0.01195,4.369,20.77,2.668,23.41,42.51,56.84,103.9,0.6089,75.78,0.4099,16.06,0.1034,4.982,7.645,14.57,4.224,7.17,11.48,23.63,27.65,25.08,16.77,18.38,6.503,20.49,4.321,11.51,0.8687,25.21,16.51,22.11,9.047,9.133,6.173,14.69,,,,leiomyosarcoma,NS,SOFT_TISSUE
RCM1_LARGE_INTESTINE,7.115,5.442,3.153,7.04,2.251,0.00636,8.758,9.083,5.166,9.287,13.95,32.48,77.4,4.742,106.6,0.0136,6.819,0.1786,5.304,4.169,10.34,7.59,5.605,10.15,15.08,104.2,45.46,9.584,6.825,6.908,23.67,6.583,9.847,9.808,32.81,4.642,12.53,7.843,6.639,5.236,9.188,,,,carcinoma,adenocarcinoma,LARGE_INTESTINE
DMS153_LUNG,7.023,6.536,15.81,16.01,8.385,0.4022,11.2,21.26,14.46,24.1,34.35,22.82,80.03,3.999,0.9274,3.108,7.369,0.276,9.81,13.88,12.39,9.616,8.192,15.6,14.77,19.08,55.89,18.23,47.56,8.936,12.66,18.92,7.074,3.323,3.384,7.728,9.772,3.805,0.8743,10.9,14.69,,,,carcinoma,small_cell_carcinoma,LUNG
SNU1033_LARGE_INTESTINE,7.004,4.218,34.93,4.66,2.125,0.012,2.847,10.78,5.215,24.15,23.95,24.35,116.4,9.633,67.07,0.01282,4.85,1.925,4.61,0.4821,11.96,10.3,3.635,7.793,10.21,96.07,12.05,9.114,8.755,2.658,16.76,1.882,9.261,1.987,23.44,7.348,13.51,4.628,4.773,2.707,11.06,,,,carcinoma,NS,LARGE_INTESTINE
LS411N_LARGE_INTESTINE,6.956,6.48,5.357,17.53,9.509,0.0,8.079,11.45,6.733,10.93,23.04,36.6,127.2,15.84,85.53,0.00745,0.08113,11.12,5.711,5.452,2.501,7.833,4.239,8.785,24.36,68.65,89.83,14.01,14.89,4.359,23.24,5.533,15.28,12.12,22.8,9.209,15.05,6.832,10.43,3.376,14.62,0.01304,1.903,8.0,carcinoma,adenocarcinoma,LARGE_INTESTINE
NCIH1299_LUNG,6.944,5.931,12.2,6.979,2.009,0.00377,6.676,14.53,3.411,18.18,41.54,62.81,95.39,22.04,51.29,0.01074,14.2,0.03021,5.654,4.537,19.76,5.533,6.075,10.0,13.75,18.24,6.505,16.59,18.42,5.544,10.26,1.513,13.86,12.67,6.809,9.63,15.0,2.193,3.9,3.052,11.41,0.4403,0.7212,8.0,carcinoma,non_small_cell_carcinoma,LUNG
TYKNU_OVARY,6.856,2.65,14.62,6.975,4.548,0.0,6.829,10.92,2.406,30.35,42.62,38.53,117.5,6.322,70.96,0.00481,15.62,0.01516,7.835,3.588,12.33,6.551,2.994,7.627,11.17,28.28,26.69,12.95,19.46,4.618,10.13,2.457,9.171,7.894,6.917,9.246,11.44,8.722,3.617,4.123,9.08,3.71,8.0,8.0,carcinoma,undifferentiated_carcinoma,OVARY
NCIH1915_LUNG,6.818,3.823,1.614,3.107,7.088,0.01746,7.777,26.8,6.865,32.92,72.15,38.61,131.1,6.879,42.14,0.012,15.55,0.0204,3.693,3.326,17.0,7.878,6.336,11.48,12.42,33.84,9.787,23.87,6.012,9.27,8.932,2.427,6.62,8.813,2.384,14.24,5.217,1.426,1.858,2.778,6.539,0.1464,0.2234,8.0,carcinoma,large_cell_carcinoma,LUNG
2313287_STOMACH,6.68,6.707,45.59,8.321,3.506,0.00154,7.651,24.56,21.22,10.81,18.27,51.39,40.54,27.38,56.26,0.5179,0.02307,0.4572,6.818,7.124,0.064,5.053,5.971,7.413,22.45,249.4,13.11,14.79,15.18,7.062,4.949,5.416,11.64,21.1,27.56,11.57,7.501,4.518,9.403,6.751,9.679,,,,carcinoma,adenocarcinoma,STOMACH
NCIH684_LIVER,6.657,3.104,29.89,5.78,2.285,0.00091,3.225,14.56,7.59,9.33,16.34,51.63,117.4,11.56,75.8,0.00585,0.0338,1.688,4.657,3.631,14.96,8.875,3.736,11.71,17.37,118.0,131.9,8.218,15.48,1.778,25.73,4.223,22.49,8.296,25.72,3.673,25.31,10.36,6.073,5.512,12.2,,,,other,hepatoblastoma,LIVER
KP4_PANCREAS,6.652,6.289,0.1657,14.44,2.38,0.01648,9.06,16.19,8.256,16.01,25.18,55.8,87.18,3.7,46.97,0.2087,22.53,0.7146,7.37,0.1349,22.14,7.339,8.473,9.303,17.67,46.67,16.1,19.34,32.65,11.98,10.33,2.476,4.219,10.35,24.77,14.65,16.55,5.075,15.92,7.275,13.25,2.774,2.569,1.074,carcinoma,ductal_carcinoma,PANCREAS
NCIH1618_LUNG,6.546,6.035,28.02,15.87,2.61,4.03,7.248,20.76,6.382,23.37,27.7,41.59,96.01,5.235,0.2947,0.00685,18.91,0.02003,10.03,18.84,13.04,10.92,8.971,15.04,18.18,19.43,56.14,28.58,45.21,5.1,11.95,5.713,7.695,6.89,4.672,12.75,29.85,2.101,14.96,11.48,22.69,,,,carcinoma,small_cell_carcinoma,LUNG
HS819T_FIBROBLAST,6.492,2.565,8.557,0.9721,0.2732,0.00334,5.258,11.49,5.25,15.72,10.93,25.32,20.55,4.994,8.22,0.00951,26.18,0.5422,2.918,3.935,9.191,1.537,3.636,8.791,5.097,18.94,11.81,11.37,5.603,4.09,4.34,2.102,1.548,6.951,11.81,3.606,9.335,2.135,4.381,2.448,4.371,,,,,,FIBROBLAST
HCC202_BREAST,6.443,3.118,2.664,7.191,1.444,0.00285,9.198,9.843,9.965,21.84,23.41,99.51,72.38,2.091,1.768,0.2527,1.642,0.0137,6.283,3.948,17.46,8.265,5.575,17.79,12.55,31.63,166.8,37.41,22.26,1.866,12.72,4.086,10.27,12.8,1191.0,13.02,16.38,7.768,2.384,10.16,12.65,,,,carcinoma,ductal_carcinoma,BREAST
HS863T_FIBROBLAST,6.375,5.034,9.86,5.366,1.804,0.01142,9.033,17.37,8.82,23.99,26.98,50.36,48.06,10.16,7.2,0.0122,15.19,0.01586,4.638,5.437,16.35,2.619,3.885,7.899,7.751,22.24,19.48,13.94,8.439,6.133,6.557,1.932,8.026,11.47,12.25,5.761,10.37,3.254,5.493,2.334,5.504,,,,,,FIBROBLAST
CAL78_BONE,6.347,6.204,15.65,6.365,1.768,0.1094,20.24,29.52,10.63,32.08,39.81,44.92,45.01,11.7,17.66,0.1631,27.78,0.7836,3.473,10.58,12.52,5.34,5.324,10.71,16.3,30.79,4.374,13.36,19.97,7.472,9.865,3.787,8.287,0.1719,5.073,8.77,14.75,5.009,9.185,4.834,10.29,8.0,8.0,8.0,chondrosarcoma,dedifferentiated,BONE
HUH28_BILIARY_TRACT,6.341,1.807,26.62,3.385,0.7462,1.052,3.955,14.24,5.112,20.29,37.4,41.19,60.95,10.46,32.09,0.02068,6.672,9.328,2.387,7.143,20.42,3.917,3.015,9.55,13.22,20.17,50.43,10.23,7.194,3.255,7.451,1.242,4.359,1.37,11.42,3.658,20.54,2.792,4.935,1.772,4.094,,,,carcinoma,NS,BILIARY_TRACT
